player_a,player_b,winner
p11,b934,p11
p11,p61,p61
p11,p595,p595
p11,p564,p11
p11,p112,p112
p11,p254,p11
p11,p415,p11
p11,p680,p11
p12,e971,e971
p12,p851,p851
p12,p720,p12
p12,p870,p870
p12,p449,p449
p12,p20,p12
p12,p641,p641
p12,p651,p12
p12,p318,p12
p12,p830,p12
p12,p247,p12
p12,p462,p462
p12,p660,p12
p12,p896,p896
p13,p859,p859
p13,p194,p194
p13,p39,p13
p13,p666,p666
p13,p576,p576
p13,p9,p13
p13,p145,p145
p13,p200,p13
p13,p146,p146
p13,p887,p13
p13,p638,p13
p13,p63,p13
p14,p349,p14
p14,p43,p14
p14,p140,p14
p14,e979,p14
p14,p12,p14
p14,p502,p14
p14,p415,p415
p14,e972,p14
p14,p491,p14
p14,p439,p14
p14,b926,b926
p14,p575,p575
p14,p267,p14
p14,p874,p874
p14,p702,p14
p15,p69,p15
p15,p828,p828
p15,p42,p15
p15,p707,p707
p15,p349,p349
p15,p235,p15
p15,p786,p15
p15,p156,p156
p15,p685,p685
p15,p141,p15
p15,p126,p15
p15,p443,p15
p16,b925,p16
p16,b912,b912
p16,p676,p676
p16,p609,p609
p16,p604,p604
p16,p31,p31
p16,p521,p521
p16,p350,p350
p16,p424,p16
p16,b920,b920
p16,p742,p742
p16,p345,p345
p17,p598,p17
p17,p734,p17
p17,p728,p17
p17,p252,p252
p17,p833,p833
p17,p846,p17
p17,p729,p17
p17,p679,p679
p17,e967,p17
p17,e979,p17
p17,p878,p17
p17,p262,p17
p17,p539,p17
p18,p266,p18
p18,p807,p18
p18,p717,p717
p18,p107,p18
p18,p216,p18
p18,p489,p18
p18,p700,p700
p18,p162,p162
p18,p109,p18
p18,p295,p295
p18,p403,p18
p18,p16,p16
p18,p261,p18
p18,p243,p18
p18,p2,p18
p19,p891,p891
p19,p511,p19
p19,p571,p571
p19,p649,p19
p19,p663,p663
p19,p635,p635
p19,p567,p19
p19,p480,p480
p19,p119,p119
p20,p378,p20
p20,p694,p20
p20,p801,p20
p20,p721,p20
p20,p615,p20
p20,p293,p293
p20,p25,p20
p20,p727,p727
p21,p617,p617
p21,p656,p656
p21,p899,p899
p21,p369,p369
p21,p531,p21
p21,p772,p21
p21,p701,p21
p21,p865,p865
p21,b916,b916
p21,p249,p249
p21,b933,p21
p21,p467,p467
p21,p10,p21
p22,p626,p22
p22,p499,p499
p22,p42,p22
p22,p134,p134
p22,p635,p22
p22,p35,p35
p22,p139,p139
p22,p869,p869
p22,p532,p22
p22,p218,p218
p23,p868,p868
p23,p449,p23
p23,p465,p23
p23,p188,p188
p23,p874,p23
p23,p24,p23
p23,p273,p23
p23,p486,p486
p23,p707,p23
p23,p293,p293
p23,p610,p23
p23,p335,p23
p23,p449,p23
p23,p425,p425
p24,p421,p24
p24,p154,p154
p24,p865,p865
p24,p305,p305
p24,p375,p375
p24,p822,p822
p24,p514,p24
p24,p612,p24
p24,p20,p24
p24,p371,p24
p24,p317,p24
p24,p415,p24
p25,p269,p269
p25,p70,p70
p25,p566,p566
p25,p745,p745
p25,p837,p25
p25,p600,p25
p25,e957,e957
p25,p214,p25
p25,p776,p776
p25,p131,p25
p26,p747,p26
p26,p8,p26
p26,p359,p359
p26,p598,p26
p26,p110,p26
p26,p678,p26
p26,p27,p27
p26,p761,p26
p26,p825,p825
p26,p79,p79
p27,p405,p27
p27,e948,e948
p27,p43,p43
p27,b940,p27
p27,p664,p664
p27,p23,p27
p27,p815,p815
p27,p262,p27
p27,p384,p384
p27,p875,p875
p28,p52,p28
p28,p506,p28
p28,p54,p28
p28,p536,p536
p28,p272,p28
p28,p373,p373
p28,p287,p287
p28,p59,p59
p28,p93,p93
p28,p443,p443
p28,p236,p28
p29,p771,p771
p29,p320,p320
p29,p140,p140
p29,p619,p619
p29,e957,e957
p29,p186,p29
p29,p477,p477
p29,p399,p29
p29,p828,p828
p29,p371,p371
p29,p747,p747
p29,p515,p29
p29,p836,p29
p29,p772,p29
p30,p331,p30
p30,p712,p30
p30,p491,p491
p30,p573,p30
p30,p186,p186
p30,p360,p360
p30,p645,p30
p30,p453,p453
p31,p364,p31
p31,p547,p547
p31,p711,p711
p31,p607,p31
p31,p571,p31
p31,p606,p606
p31,p264,p31
p31,p392,p31
p32,p623,p623
p32,p873,p873
p32,p877,p877
p32,p93,p32
p32,p708,p708
p32,p771,p32
p32,p78,p32
p32,p569,p569
p32,p197,p197
p33,p363,p363
p33,p455,p33
p33,p399,p33
p33,p779,p33
p33,p228,p33
p33,p215,p33
p33,p110,p110
p33,p363,p33
p33,p83,p83
p33,p298,p298
p33,p347,p33
p33,p469,p469
p33,p635,p635
p33,p370,p33
p34,p121,p34
p34,p343,p343
p34,b923,p34
p34,p25,p25
p34,e951,p34
p34,p106,p106
p34,p472,p472
p34,p389,p389
p34,p715,p34
p34,b937,p34
p34,p779,p779
p34,p596,p596
p35,p315,p35
p35,p742,p35
p35,p205,p35
p35,p816,p35
p35,b907,b907
p35,p510,p35
p35,b928,b928
p35,p702,p35
p35,p681,p35
p35,p634,p634
p35,p800,p800
p36,e967,p36
p36,p427,p427
p36,p732,p732
p36,p412,p412
p36,p725,p725
p36,b904,b904
p36,p342,p36
p36,p688,p688
p36,p582,p582
p36,p574,p574
p36,p411,p36
p36,p218,p36
p36,p165,p165
p36,p105,p105
p37,p686,p686
p37,p236,p236
p37,p265,p265
p37,p682,p682
p37,p19,p19
p37,p887,p37
p37,p856,p856
p37,p265,p37
p37,p497,p497
p37,p537,p37
p38,p758,p758
p38,b903,b903
p38,p700,p700
p38,e963,e963
p38,p583,p38
p38,p866,p866
p38,p619,p38
p38,p260,p260
p38,p282,p38
p38,p237,p38
p38,p890,p38
p38,p764,p38
p38,p564,p38
p38,b913,b913
p39,p835,p835
p39,p169,p169
p39,p721,p39
p39,p758,p39
p39,p827,p827
p39,b932,p39
p39,p690,p39
p39,p804,p804
p39,p2,p2
p39,p691,p691
p39,p559,p559
p39,p268,p39
p40,p616,p616
p40,p785,p40
p40,p53,p40
p40,b913,p40
p40,p125,p125
p40,p245,p245
p40,p508,p508
p40,p849,p40
p40,p720,p720
p40,p507,p507
p40,p727,p727
p40,p505,p505
p40,p586,p586
p40,p733,p733
p40,p445,p40
p41,p1,p1
p41,p527,p527
p41,p72,p41
p41,p388,p41
p41,p703,p703
p41,p498,p41
p41,p373,p41
p41,p34,p34
p41,p542,p542
p41,p790,p41
p42,p583,p583
p42,p98,p98
p42,p78,p78
p42,p246,p246
p42,p794,p42
p42,p0,p42
p42,p446,p42
p42,p121,p121
p42,p176,p176
p42,p100,p100
p43,b908,b908
p43,p18,p43
p43,p193,p43
p43,p96,p96
p43,b942,p43
p43,p320,p320
p43,p319,p43
p43,e960,p43
p43,e960,p43
p44,p420,p44
p44,p73,p73
p44,p375,p44
p44,b925,p44
p44,p572,p44
p44,p850,p44
p44,p12,p44
p44,p375,p375
p44,p369,p369
p44,p511,p44
p44,b928,b928
p44,p90,p44
p44,p652,p44
p44,p390,p390
p44,p519,p44
p45,p223,p223
p45,p391,p391
p45,p113,p113
p45,p248,p248
p45,p822,p45
p45,b919,b919
p45,p619,p619
p45,p208,p45
p45,p266,p45
p45,p379,p379
p45,p470,p470
p45,p486,p486
p45,p753,p45
p45,p605,p45
p46,p76,p46
p46,p230,p46
p46,p791,p791
p46,p250,p46
p46,p781,p46
p46,p265,p265
p46,e961,p46
p46,p556,p46
p46,b912,b912
p46,b938,b938
p46,p61,p61
p47,p584,p47
p47,p878,p878
p47,p868,p868
p47,p225,p47
p47,p630,p630
p47,p6,p6
p47,p213,p213
p47,p285,p47
p47,p785,p785
p47,p449,p47
p47,e955,e955
p47,p441,p47
p48,p413,p48
p48,p453,p48
p48,p663,p48
p48,p264,p48
p48,p697,p48
p48,p329,p329
p48,p698,p48
p48,p776,p776
p48,p834,p48
p48,p342,p342
p48,p748,p748
p48,p205,p205
p48,p547,p547
p48,p822,p822
p48,p566,p566
p49,p838,p838
p49,p441,p49
p49,p189,p189
p49,p344,p344
p49,p440,p440
p49,p20,p49
p49,b913,b913
p49,p645,p645
p49,p192,p49
p49,p174,p174
p49,p493,p493
p50,p636,p50
p50,p136,p50
p50,p5,p5
p50,e961,p50
p50,b903,p50
p50,p823,p823
p50,p427,p50
p50,p222,p50
p50,p65,p50
p51,p318,p51
p51,p552,p552
p51,p645,p51
p51,p677,p51
p51,p542,p542
p51,p300,p51
p51,b936,b936
p51,p249,p249
p51,p690,p51
p51,p341,p51
p51,p337,p337
p51,p857,p51
p51,p594,p594
p52,p39,p52
p52,p347,p347
p52,p610,p610
p52,b922,b922
p52,p645,p645
p52,p851,p851
p52,p66,p66
p52,b908,p52
p53,p247,p53
p53,p209,p209
p53,p777,p777
p53,p132,p53
p53,p719,p53
p53,p26,p53
p53,p766,p53
p53,e968,p53
p53,p753,p53
p53,p192,p192
p54,p766,p54
p54,p518,p54
p54,p613,p613
p54,b934,p54
p54,p557,p557
p54,p656,p54
p54,p803,p803
p54,p139,p54
p54,p861,p861
p54,e953,e953
p54,p588,p588
p54,p286,p286
p55,p655,p55
p55,p526,p55
p55,p386,p386
p55,p889,p55
p55,p740,p740
p55,p866,p866
p55,p205,p205
p55,p21,p55
p55,e950,e950
p55,p313,p313
p55,p667,p667
p55,p350,p350
p55,p338,p55
p55,p20,p20
p56,p741,p56
p56,p349,p349
p56,p643,p643
p56,p156,p56
p56,p704,p56
p56,p754,p754
p56,p130,p130
p56,p341,p56
p56,p781,p781
p57,p183,p57
p57,p200,p200
p57,p261,p57
p57,p526,p526
p57,p633,p633
p57,p32,p32
p57,p77,p77
p57,p205,p205
p57,p447,p447
p57,b908,b908
p57,p467,p57
p57,p29,p29
p57,p71,p57
p57,p167,p57
p58,p547,p58
p58,p274,p274
p58,p315,p58
p58,p305,p305
p58,p24,p58
p58,e951,p58
p58,p199,p58
p58,p46,p58
p58,e948,e948
p58,b911,p58
p58,p163,p58
p59,p138,p59
p59,p271,p59
p59,p80,p59
p59,p867,p867
p59,p551,p551
p59,p381,p381
p59,e948,p59
p59,p478,p478
p59,p125,p59
p59,p535,p535
p59,p234,p59
p59,p53,p53
p59,p17,p59
p59,p333,p59
p59,p312,p59
p60,p611,p611
p60,p154,p154
p60,p114,p60
p60,p479,p479
p60,p261,p60
p60,p138,p138
p60,p561,p561
p60,p469,p469
p60,p352,p60
p61,p142,p61
p61,p89,p89
p61,p430,p430
p61,p895,p61
p61,p42,p42
p61,p823,p823
p61,p292,p61
p61,p537,p61
p61,b939,p61
p61,b938,p61
p61,p532,p61
p61,p349,p349
p61,p201,p61
p62,p773,p773
p62,p760,p62
p62,p125,p62
p62,p893,p62
p62,p255,p62
p62,p223,p223
p62,p723,p723
p62,p446,p62
p62,p382,p382
p63,p753,p753
p63,p348,p63
p63,p249,p249
p63,p217,p63
p63,p531,p531
p63,p733,p733
p63,p564,p63
p63,p794,p794
p63,p749,p63
p64,p583,p583
p64,p365,p64
p64,p818,p818
p64,p693,p64
p64,p452,p64
p64,p518,p64
p64,p193,p64
p64,p150,p64
p64,p733,p733
p65,p158,p158
p65,e979,e979
p65,b910,b910
p65,p719,p65
p65,p701,p65
p65,p417,p65
p65,p425,p65
p65,p95,p95
p65,p219,p219
p65,p719,p719
p65,p802,p65
p65,p702,p702
p66,p741,p66
p66,p629,p66
p66,p333,p66
p66,p479,p66
p66,p262,p262
p66,p410,p410
p66,p277,p277
p66,p527,p527
p67,p111,p111
p67,p532,p532
p67,p472,p67
p67,p579,p579
p67,p888,p67
p67,p668,p67
p67,p208,p208
p67,p269,p67
p67,p586,p586
p67,p356,p67
p67,p346,p67
p67,p437,p67
p67,p510,p67
p67,p348,p348
p68,p517,p517
p68,p492,p492
p68,p165,p68
p68,p753,p753
p68,p388,p68
p68,p259,p68
p68,p124,p124
p68,p21,p21
p68,p261,p68
p68,p746,p746
p68,p658,p68
p69,p708,p708
p69,p492,p69
p69,p73,p73
p69,p491,p69
p69,p359,p359
p69,p434,p434
p69,p354,p354
p69,e945,e945
p69,p30,p30
p69,p571,p571
p69,p302,p302
p69,p58,p58
p69,p763,p763
p70,p457,p70
p70,p658,p70
p70,p867,p70
p70,p57,p70
p70,b916,p70
p70,p163,p70
p70,p560,p560
p70,p764,p70
p70,p882,p70
p70,p168,p70
p70,p211,p70
p70,p383,p70
p71,b942,b942
p71,p329,p71
p71,p806,p71
p71,p452,p71
p71,b927,b927
p71,p248,p248
p71,e956,p71
p71,p462,p71
p71,p521,p71
p71,p662,p662
p71,p7,p7
p71,p655,p71
p71,p292,p292
p72,b901,p72
p72,p536,p536
p72,p315,p315
p72,p864,p72
p72,p895,p72
p72,p52,p72
p72,p431,p431
p72,b918,b918
p72,p35,p35
p72,p396,p396
p72,e957,e957
p72,p595,p72
p72,p74,p72
p72,b906,b906
p72,e961,p72
p73,p17,p73
p73,p138,p138
p73,p253,p73
p73,p882,p882
p73,p774,p73
p73,p25,p25
p73,p142,p142
p73,p316,p73
p73,p430,p430
p73,b903,b903
p73,p804,p804
p73,b927,p73
p73,p870,p870
p74,p396,p396
p74,p35,p35
p74,e978,e978
p74,p409,p409
p74,p562,p562
p74,p675,p74
p74,p763,p74
p74,p767,p767
p74,p878,p878
p74,p97,p74
p74,p654,p74
p74,p856,p74
p75,p498,p498
p75,p671,p671
p75,p537,p537
p75,p313,p75
p75,p664,p75
p75,p135,p75
p75,p164,p164
p75,b928,p75
p75,p373,p373
p75,p821,p821
p75,b919,b919
p75,p869,p75
p75,p694,p75
p75,p2,p2
p76,p561,p76
p76,p87,p87
p76,p30,p76
p76,p596,p596
p76,p690,p76
p76,p459,p76
p76,p62,p76
p76,e951,e951
p76,p686,p76
p76,p412,p76
p76,p517,p76
p76,p202,p202
p77,e974,p77
p77,p760,p760
p77,p762,p762
p77,p414,p414
p77,p681,p77
p77,b916,p77
p77,p783,p77
p77,p756,p756
p77,p624,p624
p77,p501,p77
p77,p783,p77
p77,b916,p77
p77,p51,p77
p77,p518,p518
p78,p893,p893
p78,p374,p374
p78,e976,p78
p78,p514,p78
p78,p833,p833
p78,p729,p729
p78,p487,p78
p78,p398,p78
p78,p361,p78
p79,p400,p79
p79,p385,p385
p79,p242,p79
p79,p657,p79
p79,p813,p813
p79,b940,b940
p79,p156,p156
p79,b905,p79
p79,p629,p629
p79,p190,p79
p79,p177,p79
p79,p332,p79
p80,p363,p80
p80,p763,p80
p80,p207,p80
p80,p268,p268
p80,p218,p218
p80,p814,p80
p80,p417,p417
p80,p192,p80
p80,p553,p553
p80,p391,p80
p80,p883,p80
p80,p115,p115
p80,p358,p358
p81,p835,p81
p81,p429,p81
p81,p69,p81
p81,p806,p806
p81,p1,p81
p81,p431,p81
p81,p533,p81
p81,p497,p497
p81,p644,p644
p82,p682,p682
p82,p571,p571
p82,p4,p4
p82,p282,p282
p82,p779,p779
p82,p261,p261
p82,b903,b903
p82,p415,p82
p82,p519,p82
p82,p27,p27
p82,p822,p822
p82,p344,p82
p82,p664,p664
p82,p275,p82
p82,p820,p82
p83,p256,p256
p83,e958,p83
p83,p241,p83
p83,p90,p90
p83,p301,p83
p83,p670,p83
p83,p418,p83
p83,p856,p856
p83,p75,p83
p83,p748,p748
p83,p897,p83
p83,p218,p218
p83,p445,p445
p84,p667,p84
p84,p529,p529
p84,p20,p84
p84,p490,p84
p84,p843,p843
p84,p622,p84
p84,p870,p84
p84,p858,p84
p84,e948,e948
p84,p191,p84
p84,p682,p84
p84,p473,p473
p84,p510,p84
p85,p288,p85
p85,b926,p85
p85,p844,p844
p85,p577,p85
p85,p791,p85
p85,p542,p542
p85,p338,p338
p85,p646,p85
p85,p694,p694
p85,p635,p85
p85,p423,p423
p85,p248,p85
p85,b903,p85
p85,p774,p774
p86,p182,p182
p86,p438,p86
p86,p672,p672
p86,p326,p86
p86,p591,p86
p86,p250,p250
p86,p704,p86
p86,b905,p86
p86,p858,p86
p86,p447,p86
p86,p587,p86
p86,p116,p86
p87,p444,p444
p87,p210,p210
p87,p669,p669
p87,p822,p87
p87,p39,p39
p87,p256,p87
p87,p285,p285
p87,p237,p237
p87,p737,p87
p87,p600,p87
p87,p879,p879
p87,p489,p87
p88,p16,p88
p88,p825,p825
p88,p576,p88
p88,e971,p88
p88,p42,p88
p88,p451,p88
p88,p531,p531
p88,p48,p48
p88,p761,p761
p88,p124,p88
p89,p100,p100
p89,p322,p89
p89,p642,p89
p89,p352,p89
p89,p261,p261
p89,p692,p692
p89,p449,p89
p89,p892,p89
p89,p890,p890
p89,p375,p375
p90,p72,p72
p90,p844,p90
p90,p298,p298
p90,p780,p780
p90,b926,b926
p90,p346,p346
p90,p183,p183
p90,p17,p90
p90,p498,p498
p91,p138,p91
p91,p424,p424
p91,p855,p855
p91,p705,p91
p91,p867,p867
p91,p306,p306
p91,p419,p91
p91,p837,p837
p91,p797,p797
p92,p189,p92
p92,p709,p92
p92,p431,p431
p92,p778,p778
p92,p290,p92
p92,p779,p779
p92,p167,p92
p92,p136,p92
p93,p42,p42
p93,p210,p93
p93,p714,p714
p93,p355,p355
p93,p496,p93
p93,p585,p585
p93,p11,p93
p93,p405,p405
p93,e949,e949
p94,p277,p94
p94,p868,p868
p94,p797,p94
p94,p664,p94
p94,p410,p410
p94,p102,p94
p94,p280,p280
p94,p254,p254
p94,p478,p478
p94,p157,p157
p94,p565,p94
p94,p831,p94
p94,p377,p94
p95,p481,p95
p95,p514,p514
p95,p668,p668
p95,p881,p881
p95,p407,p95
p95,p885,p95
p95,p144,p144
p95,p878,p878
p95,p590,p95
p95,p752,p752
p95,p647,p647
p95,b928,b928
p95,p181,p181
p96,p261,p261
p96,p92,p96
p96,p116,p96
p96,p332,p96
p96,p195,p195
p96,p227,p227
p96,p37,p96
p96,p879,p96
p96,p785,p785
p96,p760,p760
p96,p213,p213
p96,p799,p799
p97,e946,e946
p97,p84,p97
p97,p663,p97
p97,p574,p574
p97,p236,p236
p97,p291,p291
p97,p324,p97
p97,p568,p568
p97,p258,p97
p97,p430,p97
p98,p705,p705
p98,p379,p379
p98,p847,p847
p98,p579,p98
p98,p141,p98
p98,p553,p98
p98,p689,p98
p98,p848,p98
p98,b921,b921
p99,p556,p99
p99,p166,p166
p99,p866,p866
p99,p448,p99
p99,p667,p667
p99,p700,p700
p99,p483,p99
p99,p678,p678
p100,p890,p890
p100,p753,p753
p100,b917,b917
p100,p386,p386
p100,p298,p298
p100,p95,p100
p100,p633,p633
p100,p616,p616
p100,p740,p100
p100,p35,p100
p100,p124,p100
p100,p257,p100
p100,e960,e960
p100,e954,p100
p100,p222,p222
p101,p478,p101
p101,p789,p789
p101,p237,p237
p101,p591,p591
p101,p206,p101
p101,p635,p101
p101,p565,p565
p101,p873,p101
p102,p564,p102
p102,p453,p102
p102,p724,p102
p102,p63,p63
p102,p431,p431
p102,p43,p102
p102,p816,p102
p102,p518,p518
p102,p772,p102
p102,p195,p195
p102,p35,p35
p102,p711,p102
p102,p746,p746
p102,p254,p254
p102,p354,p102
p103,p638,p638
p103,p254,p254
p103,b910,b910
p103,p124,p124
p103,p781,p103
p103,p326,p326
p103,p363,p363
p103,p368,p368
p103,p867,p867
p103,p191,p103
p103,p405,p405
p103,p410,p410
p104,p431,p431
p104,b906,b906
p104,p884,p884
p104,p791,p104
p104,p253,p253
p104,p80,p80
p104,p43,p104
p104,p160,p104
p104,p276,p104
p104,p667,p667
p104,p331,p331
p104,b904,p104
p104,p250,p250
p104,p878,p878
p104,p90,p90
p105,p562,p562
p105,p221,p221
p105,p611,p611
p105,p619,p105
p105,p210,p105
p105,p668,p668
p105,p383,p105
p105,p300,p105
p105,p217,p217
p105,p772,p772
p105,p674,p105
p105,p156,p156
p105,p385,p385
p106,p580,p580
p106,p189,p189
p106,p74,p74
p106,p235,p235
p106,p560,p106
p106,p824,p824
p106,p249,p249
p106,p219,p106
p106,p33,p33
p107,p366,p107
p107,p486,p486
p107,p611,p611
p107,e963,p107
p107,p833,p833
p107,p827,p827
p107,p885,p885
p107,p761,p107
p107,p208,p107
p107,p319,p319
p107,p21,p107
p107,p688,p107
p107,p581,p107
p107,p702,p107
p107,p389,p389
p108,b941,p108
p108,p133,p133
p108,e953,e953
p108,p227,p108
p108,p232,p232
p108,p160,p108
p108,p562,p562
p108,b929,b929
p108,p304,p108
p108,p105,p108
p109,p404,p404
p109,p134,p109
p109,p21,p21
p109,b930,p109
p109,p530,p530
p109,p204,p204
p109,p897,p109
p109,p875,p875
p109,p315,p315
p109,p509,p109
p109,p872,p872
p109,p57,p57
p109,p280,p280
p109,p357,p109
p109,p473,p109
p110,p489,p110
p110,p383,p110
p110,p127,p127
p110,p135,p135
p110,p67,p110
p110,p674,p674
p110,p591,p591
p110,p244,p244
p110,p494,p110
p111,p735,p735
p111,p810,p810
p111,p569,p569
p111,e945,p111
p111,p647,p111
p111,p716,p111
p111,p379,p379
p111,p153,p153
p111,p877,p111
p111,p261,p111
p112,p732,p732
p112,p774,p112
p112,p315,p315
p112,p428,p428
p112,p385,p112
p112,p622,p112
p112,p164,p164
p112,p66,p112
p112,p342,p342
p112,b927,p112
p112,b930,p112
p112,p443,p112
p112,p674,p674
p112,p44,p112
p113,p105,p105
p113,p337,p113
p113,b920,p113
p113,p214,p214
p113,p816,p816
p113,p117,p117
p113,p623,p623
p113,p363,p363
p113,p293,p113
p113,p309,p113
p114,p200,p200
p114,p352,p352
p114,b900,p114
p114,p752,p114
p114,p420,p420
p114,b912,b912
p114,p62,p62
p114,p741,p741
p114,p209,p209
p114,p641,p114
p114,p785,p114
p114,p87,p114
p114,p627,p627
p114,p168,p168
p114,p208,p208
p115,p107,p115
p115,p399,p115
p115,p718,p718
p115,p327,p115
p115,p658,p658
p115,p206,p206
p115,p500,p115
p115,p183,p115
p115,p22,p22
p115,p401,p401
p116,p725,p725
p116,p195,p195
p116,p110,p116
p116,p661,p661
p116,p23,p116
p116,p157,p157
p116,p488,p116
p116,p474,p474
p116,p877,p116
p116,e961,e961
p116,p534,p116
p116,p327,p116
p116,p407,p116
p116,p537,p116
p116,p249,p249
p117,p217,p217
p117,p708,p117
p117,p380,p117
p117,p414,p414
p117,p261,p117
p117,p106,p117
p117,p332,p332
p117,p378,p378
p117,p554,p554
p117,p420,p420
p117,p111,p117
p117,p426,p426
p117,p410,p410
p118,p652,p652
p118,p536,p536
p118,p867,p867
p118,p779,p118
p118,p664,p664
p118,p576,p576
p118,e956,p118
p118,p808,p808
p119,p862,p862
p119,b932,b932
p119,p672,p672
p119,p623,p119
p119,p288,p288
p119,p642,p642
p119,b924,p119
p119,p56,p119
p119,p91,p91
p119,p516,p516
p119,p642,p119
p119,p302,p302
p119,p540,p119
p119,p553,p553
p120,p172,p120
p120,p7,p7
p120,p437,p437
p120,p632,p632
p120,p274,p274
p120,p412,p412
p120,p182,p182
p120,p168,p120
p120,p8,p120
p120,p315,p315
p120,p759,p120
p120,p21,p21
p120,p290,p290
p120,p108,p108
p120,p581,p120
p121,p262,p121
p121,e954,p121
p121,p309,p309
p121,b933,b933
p121,p688,p688
p121,p540,p540
p121,p542,p542
p121,p645,p645
p122,p493,p122
p122,p46,p46
p122,p493,p122
p122,p300,p300
p122,p439,p122
p122,p776,p122
p122,p25,p122
p122,p501,p122
p122,p777,p122
p122,p791,p122
p122,p794,p122
p122,p563,p563
p123,p369,p369
p123,p758,p758
p123,p754,p754
p123,p62,p62
p123,p333,p333
p123,p202,p123
p123,p3,p3
p123,p869,p869
p123,p12,p12
p123,p156,p156
p123,p355,p123
p123,p5,p5
p123,p777,p777
p123,p158,p158
p124,p273,p273
p124,p589,p589
p124,p235,p235
p124,p323,p323
p124,p282,p282
p124,p289,p124
p124,b940,b940
p124,p608,p124
p124,b910,b910
p124,p26,p26
p125,p238,p238
p125,p358,p125
p125,p353,p353
p125,p133,p133
p125,p242,p242
p125,p680,p125
p125,p586,p125
p125,p629,p125
p126,b913,b913
p126,p621,p126
p126,p226,p226
p126,p727,p126
p126,p109,p126
p126,p560,p126
p126,p7,p7
p126,p828,p828
p126,p335,p335
p126,p888,p888
p126,p540,p540
p126,p328,p328
p126,p596,p596
p126,p559,p559
p126,p695,p126
p127,p664,p664
p127,p462,p462
p127,p293,p127
p127,p427,p427
p127,p238,p127
p127,p541,p127
p127,p407,p407
p127,p898,p898
p127,p446,p446
p127,p343,p343
p128,b929,p128
p128,p786,p786
p128,p200,p128
p128,p514,p128
p128,p275,p128
p128,p609,p609
p128,p106,p106
p128,p354,p128
p128,p519,p128
p128,p831,p128
p128,p231,p128
p128,p429,p429
p128,p22,p128
p129,p377,p129
p129,p854,p129
p129,p311,p311
p129,p757,p757
p129,p645,p129
p129,p418,p418
p129,p746,p129
p129,p49,p49
p129,p452,p129
p129,p648,p129
p129,p33,p129
p129,p730,p129
p130,p151,p151
p130,p689,p130
p130,p629,p130
p130,b936,b936
p130,p621,p621
p130,p819,p819
p130,p174,p174
p130,p176,p130
p130,p589,p589
p130,p673,p130
p131,p837,p837
p131,p296,p131
p131,p811,p811
p131,p847,p847
p131,p371,p371
p131,p5,p131
p131,p69,p131
p131,p469,p131
p131,p10,p131
p131,p526,p131
p132,e969,p132
p132,p187,p132
p132,p313,p132
p132,p622,p132
p132,p671,p132
p132,p12,p132
p132,p631,p631
p132,p847,p132
p132,e960,p132
p132,p294,p132
p132,p203,p132
p132,p36,p132
p133,p312,p133
p133,p267,p267
p133,p336,p133
p133,b905,b905
p133,p413,p413
